"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"30",".SwiggyDaily, the brand new offering from swiggy_in is now live! I have been working on this right from the scrat ","2019-06-03 13:31:41","FALSE","1","47","1","swiggy","banglore",FALSE
"31","Anyways I have stopped using Swiggy to avoid the use of plastic covers. We really do not have a proper way to recyc ","2019-06-03 13:15:06","FALSE","0","1","1","swiggy","banglore",FALSE
"32","swiggy_in SwiggyCares your complete business works on Plastic covers using which food will be delivered. If plast ","2019-06-03 13:11:34","FALSE","4","6","1","swiggy","banglore",FALSE
"33","How Swiggy cheats you!  Same food is being charged almost 100 bucks more!  The one on your right is Swiggy,. ","2019-06-03 13:05:26","FALSE","1","2","0","swiggy","banglore",FALSE
"34","Swiggy continues to create products to take my salary  
swiggy_in launches Daily- a new service giving users acc ","2019-06-03 12:38:45","FALSE","0","6","0","swiggy","banglore",FALSE
"35","Total Unethical Ways to Grow: SUPRDailyChorHai Disgraceful Swiggy_in owned SuprDaily hiring children for delivery ","2019-06-03 12:13:45","FALSE","0","0","-2","swiggy","banglore",FALSE
"36","Swiggy is finding new ways to be irresponsible with something we NEED (not want). Fishbone in a vegetarian dish!! W ","2019-06-03 12:13:38","FALSE","0","2","-1","swiggy","banglore",FALSE
"37","uniquekrishna guptanagu8 Nellore lo already unay swiggy and zomato. Masthu offers","2019-06-03 11:41:25","FALSE","0","0","0","swiggy","banglore",FALSE
"38","swiggy_in SwiggyCares  something","2019-06-03 11:40:02","FALSE","0","0","0","swiggy","banglore",FALSE
"39","Any random number I put in cvv box in payment option I put in swiggy when paying through sodexo it will accept it. ","2019-06-03 11:39:26","FALSE","0","0","0","swiggy","banglore",FALSE
"40","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 11:23:06","TRUE","7","0","0","swiggy","banglore",TRUE
"41","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 10:59:38","TRUE","7","0","0","swiggy","banglore",TRUE
"42","RT PondiSwiggy: Happy birthday our dear friend. We all hope that your special day is full of fun and happiness. We are always with you in","2019-06-03 10:53:18","TRUE","0","0","3","swiggy","banglore",FALSE
"43",". swiggy_in  launches app for everyday homestyle meals ","2019-06-03 10:46:04","FALSE","0","1","0","swiggy","banglore",FALSE
"44","RT Alok_Jain: Introducing Swiggy Daily. Say goodbye to your daily food woes :) anujrathi harshamjty nandanreddy swiggy_in ","2019-06-03 09:59:25","TRUE","1","0","0","swiggy","banglore",FALSE
"45","RT Ankit0316: GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to you Swig","2019-06-03 09:58:11","TRUE","6","0","-1","swiggy","banglore",TRUE
"46","Swiggy launches 'Daily' app for homestyle meals
","2019-06-03 09:48:42","FALSE","0","2","0","swiggy","banglore",FALSE
"47","Introducing Swiggy Daily. Say goodbye to your daily food woes :) anujrathi harshamjty nandanreddy swiggy_in ","2019-06-03 09:48:23","FALSE","1","18","0","swiggy","banglore",FALSE
"48","RT Ankit0316: GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to you Swig","2019-06-03 09:40:47","TRUE","6","0","-1","swiggy","banglore",TRUE
"49","How Much Does it Cost To Develop an E-commerce app like Swiggy or yump?
Our recent work - ","2019-06-03 09:40:16","FALSE","0","0","2","swiggy","banglore",FALSE
"50","swiggy_in SwiggyCares like seriously. 
Cant believe you people running a company in such standards. ","2019-06-03 09:38:07","FALSE","0","0","1","swiggy","banglore",FALSE
"51","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 09:22:20","TRUE","7","0","0","swiggy","banglore",TRUE
"52","I would have walked, finished my lunch and back by this time.

Pathetic experience with you guys through the day. ","2019-06-03 09:19:49","FALSE","0","4","0","swiggy","banglore",FALSE
"53","RT Ankit0316: GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to you Swig","2019-06-03 09:16:09","TRUE","6","0","-1","swiggy","banglore",TRUE
"54","RT Ankit0316: GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to you Swig","2019-06-03 09:05:20","TRUE","6","0","-1","swiggy","banglore",TRUE
"55","Launched in Gurugram, the service will expand to Bengaluru and Mumbai in the coming months, swiggy said. ","2019-06-03 08:54:33","FALSE","0","0","0","swiggy","banglore",FALSE
"56","GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to ","2019-06-03 08:48:51","FALSE","6","16","-1","swiggy","banglore",FALSE
"57","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 08:45:48","TRUE","7","0","0","swiggy","banglore",TRUE
"58","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 08:41:16","TRUE","7","0","0","swiggy","banglore",TRUE
"59","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 08:41:11","TRUE","7","0","0","swiggy","banglore",TRUE
"60","Vaishnavioffl I'll probably die before doing my researrch with DuckDuckGo and the anxiety of not finidng the real ","2019-06-03 08:37:29","FALSE","0","0","-2","swiggy","banglore",FALSE
"61","When it's been 40 minutes but they promised lightning fast delivery swiggy ","2019-06-03 08:34:34","FALSE","0","3","2","swiggy","banglore",FALSE
"62","Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. ","2019-06-03 08:32:34","FALSE","7","38","0","swiggy","banglore",FALSE
"63","SwiggyCares  I have two problems with swiggy. 1) I told them to tell the restaurant not to use plastic  but they a ","2019-06-03 08:29:25","FALSE","0","0","-1","swiggy","banglore",FALSE
"64","Hi swiggy_in , I have received OTPs even though I did not order anything (last three messages). 

I have checked m ","2019-06-03 08:22:17","FALSE","0","0","0","swiggy","banglore",FALSE
"65","GabbbarSingh Any Chicken roll from rollsonwheels ordered through swiggy. Have ordered this straight for last 4 y ","2019-06-03 07:53:34","FALSE","0","0","0","swiggy","banglore",FALSE
"66","Didn't get any resolution till now. Is this customer service providing swiggy?? 
Disgusting customer service. After ","2019-06-03 07:39:14","FALSE","0","0","-1","swiggy","banglore",FALSE
"67","Let us ask for the Delivery Agents on whose hardwork and effort Swiggy is actually executing its business. They can ","2019-06-03 07:32:29","FALSE","0","2","0","swiggy","banglore",FALSE
"68","Let us avoid ordering from Swiggy. Support the local competitors of Swiggy, the smaller delivery organisations like ","2019-06-03 07:32:29","FALSE","0","1","2","swiggy","banglore",FALSE
"69","Delivery Agents of swiggy_in are their servants who serve the company on terms set by the corporate giant. They ca ","2019-06-03 07:32:28","FALSE","0","2","0","swiggy","banglore",FALSE
"70","Marinersrevenge swiggy_in Thank you","2019-06-03 07:21:31","FALSE","0","1","1","swiggy","banglore",FALSE
"71","RT Iamnaveenv: Last nit I was stuck in midway due 2 bike snag. No 1 is stopping 2 hlp n midnit.I strted wlking.thn a swiggy guy came n hlp","2019-06-03 06:57:30","TRUE","2","0","-3","swiggy","banglore",FALSE
"72","swiggy_in why to run a business if you cannot ensure a good quality and quantity.","2019-06-03 06:52:06","FALSE","0","0","1","swiggy","banglore",FALSE
"73","Happy birthday our dear friend. We all hope that your special day is full of fun and happiness. We are always with ","2019-06-03 06:48:08","FALSE","0","0","3","swiggy","banglore",FALSE
"74","swiggy_in combined fraud by swiggy and chai point and none is ready to take the responsibilty..wow swiggy ","2019-06-03 06:45:57","FALSE","0","0","0","swiggy","banglore",FALSE
"75","SinghSimaranjit Zomato swiggy_in UberEats We appreciate your thoughtfulness and applaud your compassion. Someti ","2019-06-03 06:41:43","FALSE","0","0","4","swiggy","banglore",FALSE
"76","swiggy_in SwiggyCares order number 42459298495. One item was not delivered due to unavailability. Refund was prom ","2019-06-03 06:21:45","FALSE","0","0","1","swiggy","banglore",FALSE
"77","swiggy_in SwiggyCares Since when is chicken vegetarian?! ","2019-06-03 06:20:13","FALSE","0","0","0","swiggy","banglore",FALSE
"78","ndcnn Well,If they are too much concerned about Onion &amp; garlic in thier food,i have a solution.swiggy_in  it ","2019-06-03 05:31:32","FALSE","0","0","-1","swiggy","banglore",FALSE
"79","The swiggy_in in-house creative team's haul for the year at the Kyoorius Creative Awards &amp; Abbys 2019. For a non-a ","2019-06-03 05:26:03","FALSE","0","14","3","swiggy","banglore",FALSE
"80","shivaniasrani Zomato swiggy_in Yes !!! Say no to UberEats_IND Uber_Support","2019-06-03 03:34:34","FALSE","0","0","-1","swiggy","banglore",FALSE
"81","DhooDala swiggy_in This tweet made my day...
So sweet","2019-06-03 03:29:51","FALSE","0","1","1","swiggy","banglore",FALSE
"82","I'd use English, that's how I've been dealing with for years now. 
Cab? Ola/uber/auto

Food? Swiggy

Stay? MMT or p ","2019-06-03 02:49:02","FALSE","0","5","0","swiggy","banglore",FALSE
"83","7Deals24 Can this 100 super cash used to buy Swiggy super ?","2019-06-03 02:15:43","FALSE","0","0","2","swiggy","banglore",FALSE
"84","Manjunathpanyam SwiggyCares swiggy_in Uninstall Swiggy","2019-06-03 01:49:23","FALSE","0","1","0","swiggy","banglore",FALSE
"85","SwiggyCares hi team.. is there any way  possible to include a group conversation chat in swiggy among our friends ","2019-06-02 23:44:32","FALSE","0","0","0","swiggy","banglore",FALSE
"86","RT thenewsminute: Swiggy delivery partners in Kochi say theyre being forced to resign for protesting ","2019-06-02 21:58:58","TRUE","1","0","-1","swiggy","banglore",FALSE
"87","amit2648 swiggy_in SwiggyCares Thank you for letting me know","2019-06-02 20:02:19","FALSE","0","0","1","swiggy","banglore",FALSE
"88","Last nit I was stuck in midway due 2 bike snag. No 1 is stopping 2 hlp n midnit.I strted wlking.thn a swiggy guy ca ","2019-06-02 19:57:37","FALSE","2","16","-3","swiggy","banglore",FALSE
"89","RT studpr: badhiya hai jee dominos food not delivered but marked as delivered. ordered via swiggy_in ","2019-06-02 19:31:56","TRUE","1","0","0","swiggy","banglore",FALSE
"90","Just got a call from swiggy executive and  he said that they can't deliever the order and as compensation he offere ","2019-06-02 18:20:13","FALSE","0","0","0","swiggy","banglore",FALSE
"91","RT XpressBengaluru: Over two days, techie Pratyush Kumar used swiggy_in to deliver food to 15 customers and Rapido to drop 10 customers","2019-06-02 18:17:23","TRUE","4","0","0","swiggy","banglore",TRUE
"92","nandanreddy Why Swiggy won't care about customer and loot the customer's money and peace of mind and makes to have ","2019-06-02 18:16:26","FALSE","0","0","0","swiggy","banglore",FALSE
"93","RT avanish351: SwiggyCares swiggy_in I ordered food through swiggy but totally wasted as it was too much spicy and bad in taste.customer","2019-06-02 18:14:04","TRUE","1","0","-2","swiggy","banglore",FALSE
"94","swiggy_in Never order in swiggy... I received food in 2 hours 40 mins and that too wrong items from the items I ha ","2019-06-02 18:06:38","FALSE","0","0","-2","swiggy","banglore",FALSE
"95","arian_earthling Mizzling_Gaze swiggy_in You know its funny and swiggy_in has got this down to the T. If I order ","2019-06-02 17:58:44","FALSE","0","3","-1","swiggy","banglore",FALSE
"96","DhooDala swiggy_in Kind of you!","2019-06-02 17:27:24","FALSE","0","2","0","swiggy","banglore",FALSE
"97","swiggy_in And once again.. Fr d nth time..vn r u goin to undrstnd dat if v need 2 save our  we won't ordr  f ","2019-06-02 17:20:28","FALSE","0","0","0","swiggy","banglore",FALSE
"98","SwiggyCares swiggy_in I ordered food through swiggy but totally wasted as it was too much spicy and bad in taste. ","2019-06-02 17:18:19","FALSE","1","1","-2","swiggy","banglore",FALSE
"99","RT AkhileshSingla1: swiggy_in another Ponzi scheme in market. swiggysuper Pay money for premium service and good experience and get shit","2019-06-02 16:58:26","TRUE","1","0","0","swiggy","banglore",FALSE
"100","swiggy_in another Ponzi scheme in market. swiggysuper Pay money for premium service and good experience and get s ","2019-06-02 16:58:09","FALSE","1","0","1","swiggy","banglore",FALSE
"101","SwiggyCares swiggy_in askGST_GoI GST_Council 
Hi,
Did not receive any call yet.
Anothet one.
How much are you l ","2019-06-02 16:49:27","FALSE","0","0","0","swiggy","banglore",FALSE
"102","badhiya hai jee dominos food not delivered but marked as delivered. ordered via swiggy_in ","2019-06-02 16:25:22","FALSE","1","1","0","swiggy","banglore",FALSE
"103","SwiggyCares 42 minutes later swiggy still wants 47 mins to deliver. ","2019-06-02 16:13:03","FALSE","0","0","0","swiggy","banglore",FALSE
"104","zomatocare ZomatoIN Thats it ! I am switching to swiggy_in","2019-06-02 16:09:36","FALSE","0","0","0","swiggy","banglore",FALSE
"105","Dear swiggy_in,
Could u plz imprve ur service abt delivery at specific location. I was using regular service frm u ","2019-06-02 16:08:17","FALSE","1","2","0","swiggy","banglore",FALSE
"106","SwiggyCares  thank you  swiggy.. U r delivery came and delivery in a rain..... U guys are doing great...","2019-06-02 15:59:12","FALSE","0","0","2","swiggy","banglore",FALSE
"107","swiggy_in Guys, can you start treating customers like you care? At least stop forcing things on customers when the ","2019-06-02 15:58:00","FALSE","0","1","1","swiggy","banglore",FALSE
"108","RT _sayan_: Need to understand the 3 most important factors related to hyperlocal deliveries 1)Availability-What % of times delivery is av","2019-06-02 15:48:13","TRUE","1","0","1","swiggy","banglore",FALSE
"109","RT XpressBengaluru: Over two days, techie Pratyush Kumar used swiggy_in to deliver food to 15 customers and Rapido to drop 10 customers","2019-06-02 15:38:16","TRUE","4","0","0","swiggy","banglore",TRUE
"110","swiggy_in whenever I order the food every time delivery comes to wrong location you should work on this maybe e google location wrong","2019-06-02 15:30:47","FALSE","0","0","-1","swiggy","banglore",FALSE
"111","UberEats_IND &amp; swiggy_in high time u insist what obeying traffic rules means to ur delivery executives. A video w ","2019-06-02 15:29:19","FALSE","0","0","0","swiggy","banglore",FALSE
"112","Need to understand the 3 most important factors related to hyperlocal deliveries 1)Availability-What % of times del ","2019-06-02 15:27:46","FALSE","1","1","1","swiggy","banglore",FALSE
"113","DhooDala swiggy_in Let me give u my appreciation ","2019-06-02 15:13:15","FALSE","0","1","0","swiggy","banglore",FALSE
"114","swiggy_in Food was ordered at 6.50pm&amp; ur delivery guy spilled the food somewhere and mentioned as delivered,worst ","2019-06-02 15:07:34","FALSE","0","0","0","swiggy","banglore",FALSE
"115","zomatocare ZomatoIN I have not placed any orders, i just created my account.When i tried to use 50% offer code on ","2019-06-02 15:05:44","FALSE","0","0","0","swiggy","banglore",FALSE
"116","RT Biryani_Freak: Yesterday, swiggy_in delivered this from  leongrillBLR at night. They gave me 30 bucks off on my next order, but does","2019-06-02 15:03:20","TRUE","2","0","0","swiggy","banglore",FALSE
"117","mcdonaldsindia if it happen first time then no problem..always happen to especially when ordered in swiggy_in mcdonaldsindia","2019-06-02 14:37:47","FALSE","0","0","-1","swiggy","banglore",FALSE
"118","SwiggyCares swiggy_in spelling mistake..Try to be will never use swiggy again. Tired of contacting customer service","2019-06-02 14:32:26","FALSE","0","0","-2","swiggy","banglore",FALSE
"119","swiggy_in  always when i ordered McDonalds burger there is no sauce (ketchup) provided. Without sauce who will ea ","2019-06-02 14:28:04","FALSE","0","0","-1","swiggy","banglore",FALSE
"120","amazonIN Thanks . I'm lucky enough to get 200rs cash back for paying in Swiggy. ","2019-06-02 14:10:17","FALSE","0","0","2","swiggy","banglore",FALSE
"121","kaushik_jatin SwiggyCares On some offers Swiggy also shares the amount. 50-50 or 30(Sw)-70 (Res) and commission w ","2019-06-02 14:08:37","FALSE","0","0","0","swiggy","banglore",FALSE
"122","RT vikasplakkot: I hope each of you in Bangalore are safely home, away from the thunder storm, whether you're a dunzo partner or swiggy de","2019-06-02 14:01:57","TRUE","1","0","1","swiggy","banglore",FALSE
"123","I hope each of you in Bangalore are safely home, away from the thunder storm, whether you're a dunzo partner or swiggy delivery guy.","2019-06-02 14:00:35","FALSE","1","5","1","swiggy","banglore",FALSE
"124","When hunger strikes, we are just around the corner in whitefield Bangalore walk-in or order through swiggy_in or ","2019-06-02 13:56:54","FALSE","0","3","0","swiggy","banglore",FALSE
"125","RT naadabrahma: Swiggy delivers that bad food, &amp; when you report a food issue, they will not care at all. 

Also, the restaurants will con","2019-06-02 13:34:42","TRUE","2","0","-2","swiggy","banglore",FALSE
"126","Get Hygiene Ratings Or Close Shop: Punjab Govt Tells Zomato, Swiggy And Other Online Food Delivery Services ","2019-06-02 13:24:26","FALSE","0","0","0","swiggy","banglore",FALSE
"127","Went out to the club and later for an icecream last night .One hour was lost waiting for  food to arrive. Have a fe ","2019-06-02 13:23:11","FALSE","0","0","-1","swiggy","banglore",FALSE
"128","vanitha0212 Swiggy","2019-06-02 13:05:23","FALSE","0","0","0","swiggy","banglore",FALSE
"129","Swiggy delivery partners in Kochi say theyre being forced to resign for protesting ","2019-06-02 12:58:50","FALSE","1","0","-1","swiggy","banglore",FALSE
"130","SwiggyCares I spoke to swiggy  executive","2019-06-02 12:55:21","FALSE","0","0","0","swiggy","banglore",FALSE
"131","RT XpressBengaluru: Over two days, techie Pratyush Kumar used swiggy_in to deliver food to 15 customers and Rapido to drop 10 customers","2019-06-02 12:37:44","TRUE","4","0","0","swiggy","banglore",TRUE
"132","dominos_india Call me  8147090392 order no 99 , swiggy  order number  attached below ","2019-06-02 12:33:19","FALSE","0","0","-1","swiggy","banglore",FALSE
"133","Over two days, techie Pratyush Kumar used swiggy_in to deliver food to 15 customers and Rapido to drop 10 custome ","2019-06-02 12:30:00","FALSE","4","10","0","swiggy","banglore",FALSE
"134","Swiggy delivery partners in Kochi say theyre being forced to resign for protesting ","2019-06-02 12:30:00","FALSE","1","2","-1","swiggy","banglore",TRUE
"135","swiggy_in SwiggyCares dominos_india dominos has your 30 mins for free pizza policy changed to 2 hours ?","2019-06-02 12:25:37","FALSE","0","0","1","swiggy","banglore",FALSE
"136","dominos_india dominos_india swiggy_in SwiggyCares  now j am getting this msg after 1 hour 1 hours 30 mins
Dear ","2019-06-02 12:22:45","FALSE","0","0","0","swiggy","banglore",FALSE
"137","KokaneGaurav1 95Pizza swiggy_in SwiggyCares WeAreSwiggy 95pastanpizza Not really, you will be compensated pro ","2019-06-02 10:59:06","FALSE","0","1","0","swiggy","banglore",FALSE
"138","KokaneGaurav1 95Pizza swiggy_in SwiggyCares WeAreSwiggy 95pastanpizza Mr.Gourav, You should register complain ","2019-06-02 10:54:41","FALSE","0","1","-1","swiggy","banglore",FALSE
"139","swiggy_in SwiggyCares seems your delivery executives are starving now a days, please feed them enough before they ","2019-06-02 10:53:17","FALSE","0","0","1","swiggy","banglore",FALSE
"140","RT Vishal1Menon: Given that its ManiRatnams Bday and given that Im still waiting for my Swiggy, heres a pointless list. Its called","2019-06-02 10:51:22","TRUE","5","0","-1","swiggy","banglore",FALSE
"141","RISHABHPANDEY16 swiggy_in SwiggyCares Wooooo... That's messed up","2019-06-02 10:50:40","FALSE","0","0","-1","swiggy","banglore",FALSE
"142","Hey swiggy_in. Paid twice for an order, cause one order didnt come through. But the payment went through twice. P ","2019-06-02 10:47:58","FALSE","0","0","0","swiggy","banglore",FALSE
"143","swiggy_in SwiggyCares 
Do you see his attitude and behavior while dealing with me. Horrible service and horrible ","2019-06-02 10:45:02","FALSE","0","0","-2","swiggy","banglore",FALSE
"144","swiggy_in  and now he is showing me attitude after making me wait for more than an hour he says shall I cancel it? ","2019-06-02 10:42:53","FALSE","0","0","0","swiggy","banglore",FALSE
"145","swiggy_in please get people who understand their customer in support. My order is running 1 hour late and your rep ","2019-06-02 10:41:01","FALSE","0","0","1","swiggy","banglore",FALSE
"146","swiggy_in SwiggyCares Food safety is critical aspect to be taken care. By offering 100 rupees coupon are you tryi ","2019-06-02 10:38:36","FALSE","0","1","-1","swiggy","banglore",FALSE
"147","TheHinduMag nathan_archana So dr ""Sylvia"" Karpagam is the ""voice"" for poor children..So if she closes down APF fo ","2019-06-02 10:34:09","FALSE","0","0","-1","swiggy","banglore",FALSE
"148","With Zomato  and swiggy_in  every Indian is a Shah Jahan. foodietribe cuisine ","2019-06-02 10:32:41","FALSE","0","0","0","swiggy","banglore",FALSE
"149","swiggy_in Placed the order  1:12 p.m. Received the order  3:10 p.m. No proper customer service on chat. The CS a ","2019-06-02 10:11:19","FALSE","0","0","0","swiggy","banglore",FALSE
"150","Swiggy delivers that bad food, &amp; when you report a food issue, they will not care at all. 

Also, the restaurants w ","2019-06-02 10:05:39","FALSE","2","1","-2","swiggy","banglore",FALSE
"151","Think really hard before ordering for food on swiggy (&amp; other apps), especially now in the summer. 

The ","2019-06-02 10:05:38","FALSE","0","0","-1","swiggy","banglore",FALSE
"152","RT Vishal1Menon: Given that its ManiRatnams Bday and given that Im still waiting for my Swiggy, heres a pointless list. Its called","2019-06-02 09:43:55","TRUE","5","0","-1","swiggy","banglore",TRUE
"153","SwiggyCares swiggy_in  don't order for lunch during lunch, try order during breakfast for lunch or dinner ","2019-06-02 09:41:17","FALSE","0","0","0","swiggy","banglore",FALSE
"154","swiggy_in facing worst service for quite some time. Decided not to order anymore from swiggy. They pretend to be l ","2019-06-02 09:23:34","FALSE","0","0","-2","swiggy","banglore",FALSE
"155","RT shunsanakshu: My husband's car broke down late at night in the middle of the road...that time without even asking for help...two swigg","2019-06-02 08:53:57","TRUE","1","0","-1","swiggy","banglore",FALSE
"156","swiggy_in Thank you for delivering same food, same take away but increased cost if I order from your app, but dire ","2019-06-02 08:27:45","FALSE","0","0","0","swiggy","banglore",FALSE
"157","RT Vishal1Menon: Given that its ManiRatnams Bday and given that Im still waiting for my Swiggy, heres a pointless list. Its called","2019-06-02 08:05:22","TRUE","5","0","-1","swiggy","banglore",TRUE
"158","Given that its ManiRatnams Bday and given that Im still waiting for my Swiggy, heres a pointless list. Its c ","2019-06-02 07:59:15","FALSE","5","29","-1","swiggy","banglore",FALSE
"159","NeptunesMonster Swiggy or Zomato baba plz eat its bloody 1 already","2019-06-02 07:39:03","FALSE","0","1","-1","swiggy","banglore",FALSE
"160","Have you ever seen swiggy guys wearing helmet while delivering food? I haven't ...who wants to see blood on their f ","2019-06-02 07:36:39","FALSE","0","0","0","swiggy","banglore",FALSE
"161","dominos_india swiggy_in SwiggyCares  Day by day,quality is deteriorating.yesterday, I ordr a dominoes combo pizz ","2019-06-02 07:34:29","FALSE","0","0","0","swiggy","banglore",FALSE
"162","Isckon presented their thoughts on the Adverse Cultural Impacts on Family and Youth. Among the key issues they high ","2019-06-02 07:12:18","FALSE","0","6","-2","swiggy","banglore",FALSE
"163","swiggy_in I have made a payment with money has been debited on May 28th it has not been refunded and even today sa ","2019-06-02 06:31:54","FALSE","0","0","1","swiggy","banglore",FALSE
"164","BabulalChandak isahilkakkar SwiggyCares jaagograhak WeAreSwiggy swiggy_in BandBajaateRaho Zomato UberEats ","2019-06-02 05:52:45","FALSE","1","1","0","swiggy","banglore",FALSE
